Date,Close
2020-01-02,993.88
2020-02-03,1036.11
2020-03-02,992.31
2020-04-01,766.1
2020-05-04,869.16
2020-06-01,919.9
2020-07-01,948.32
2020-08-03,965.12
2020-09-01,959.3
2020-10-01,938.89
2020-11-02,941.92
2020-12-01,1055.76
2021-01-04,1133.04
2021-02-01,1175.83
2021-03-01,1181.43
2021-04-01,1200.22
2021-05-03,1292.35
2021-06-01,1336.32
2021-07-01,1351.61
2021-08-02,1475.33
2021-09-01,1632.89
2021-10-01,1566.14
2021-11-01,1589.3
2021-12-01,1566.24
2022-01-03,1583.13
2022-02-01,1566.14
2022-03-01,1412.13
2022-04-01,1470.37
2022-05-02,1450.48
2022-06-01,1411.53
2022-07-01,1366.56
2022-08-01,1349.95
2022-09-01,1363.65
2022-10-03,1279.78
2022-11-01,1296.6
2022-12-01,1373
