Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,323.540009,332.950012,320.359985,321.730011,304.404755,1392003800
2020-02-01,323.350006,339.079987,285.540009,296.26001,280.306335,2110214900
2020-03-01,298.209991,313.839996,218.259995,257.75,243.870117,5926017600
2020-04-01,247.979996,294.880005,243.899994,290.480011,276.453674,2819312300
2020-05-01,285.309998,306.839996,272.98999,304.320007,289.625397,1910460500
2020-06-01,303.619995,323.410004,296.73999,308.359985,293.470306,2358674500
2020-07-01,309.570007,327.230011,309.070007,326.519989,312.120941,1505145300
2020-08-01,328.320007,351.299988,327.730011,349.309998,333.905884,1045563300
2020-09-01,350.209991,358.75,319.799988,334.890015,320.121887,1814712700
2020-10-01,337.690002,354.019989,322.600006,326.540009,313.389557,1629016100
2020-11-01,330.200012,364.380005,327.23999,362.059998,347.479126,1535244300
2020-12-01,365.570007,378.459991,362.029999,373.880005,358.82312,1344541500
2021-01-01,375.309998,385.850006,364.820007,370.070007,356.68045,1402265400
2021-02-01,373.720001,394.170013,370.380005,380.359985,366.598145,1307806200
2021-03-01,385.589996,398.119995,371.880005,396.329987,381.990326,2401715800
2021-04-01,398.399994,420.720001,398.179993,417.299988,403.518921,1462106600
2021-05-01,419.429993,422.820007,404,420.040009,406.168488,1547235900
2021-06-01,422.570007,428.779999,414.700012,428.059998,413.923615,1282152400
2021-07-01,428.869995,441.799988,421.970001,438.51001,425.415771,1422104700
2021-08-01,440.339996,453.070007,436.100006,451.559998,438.07605,1254001400
2021-09-01,452.559998,454.049988,428.779999,429.140015,416.325562,1745559600
2021-10-01,430.980011,459.559998,426.359985,459.25,446.963776,1508665200
2021-11-01,460.299988,473.540009,455.299988,455.559998,443.372498,1335351500
2021-12-01,461.640015,479,448.920013,474.959991,462.253448,1927433900
2022-01-01,476.299988,479.980011,420.76001,449.910004,439.411987,2485167800
2022-02-01,450.679993,458.119995,410.640015,436.630005,426.441895,2297975100
2022-03-01,435.040009,462.070007,415.119995,451.640015,441.101624,2380929500
2022-04-01,453.309998,457.829987,411.209991,412,403.636627,1856757400
2022-05-01,412.070007,429.660004,380.540009,412.929993,404.54776,2418478100
2022-06-01,415.170013,417.440002,362.170013,377.25,369.592072,1958611900
2022-07-01,376.559998,413.029999,371.040009,411.98999,405.370392,1437748400
2022-08-01,409.149994,431.730011,395.040009,395.179993,388.830475,1443394400
2022-09-01,392.890015,411.730011,357.040009,357.179993,351.44104,1998908600
2022-10-01,361.079987,389.519989,348.109985,386.209991,381.565582,2024732000
2022-11-01,390.140015,407.679993,368.790009,407.679993,402.777435,1745985300
2022-12-01,408.769989,410.48999,374.769989,382.429993,377.831024,1735973600
