Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,1675.900024,1715.079956,1610.640015,1614.060059,1614.060059,77287980000
2020-02-01,1618.800049,1698.910034,1448.209961,1476.430054,1476.430054,84436590000
2020-03-01,1476.589966,1539.73999,966.219971,1153.099976,1153.099976,1.62E+11
2020-04-01,1127.72998,1373.390015,1035.390015,1310.660034,1310.660034,1.24E+11
2020-05-01,1280.579956,1450.369995,1181.089966,1394.040039,1394.040039,1.07E+11
2020-06-01,1396.290039,1537.619995,1343.599976,1441.369995,1441.369995,1.31E+11
2020-07-01,1443.290039,1507.23999,1384.099976,1480.430054,1480.430054,96928130000
2020-08-01,1485.48999,1603.599976,1483.369995,1561.880005,1561.880005,82466520000
2020-09-01,1561.099976,1595.040039,1432.569946,1507.689941,1507.689941,92310780000
2020-10-01,1508.599976,1652.050049,1498.109985,1538.47998,1538.47998,89938980000
2020-11-01,1540.859985,1862.170044,1540.859985,1819.819946,1819.819946,1.01E+11
2020-12-01,1822.920044,2026.23999,1817.02002,1974.859985,1974.859985,96375680000
2021-01-01,1975.780029,2194.860107,1927.150024,2073.639893,2073.639893,1.06E+11
2021-02-01,2075.01001,2318.090088,2075.01001,2201.050049,2201.050049,99082320000
2021-03-01,2203.030029,2360.169922,2085.120117,2220.52002,2220.52002,1.22E+11
2021-04-01,2225.290039,2322.909912,2171.679932,2266.449951,2266.449951,83124090000
2021-05-01,2268.620117,2288.570068,2132.25,2268.969971,2268.969971,88321860000
2021-06-01,2270.379883,2350.699951,2229.580078,2310.550049,2310.550049,1.03E+11
2021-07-01,2312.570068,2332.949951,2107.070068,2226.25,2226.25,84255620000
2021-08-01,2228.030029,2286.360107,2122.23999,2273.77002,2273.77002,80500760000
2021-09-01,2274.209961,2309.969971,2155.340088,2204.370117,2204.370117,85528860000
2021-10-01,2205.909912,2321.469971,2188.689941,2297.189941,2297.189941,80253600000
2021-11-01,2298.080078,2458.860107,2175.679932,2198.909912,2198.909912,88268840000
2021-12-01,2203.120117,2276.75,2107.679932,2245.310059,2245.310059,92750180000
2022-01-01,2246.709961,2288.300049,1901.359985,2028.449951,2028.449951,95562890000
2022-02-01,2028.780029,2105.209961,1894.449951,2048.090088,2048.090088,92667710000
2022-03-01,2047.23999,2138.449951,1932.709961,2070.129883,2070.129883,1.24E+11
2022-04-01,2071.219971,2103.360107,1860.579956,1864.099976,1864.099976,90367840000
2022-05-01,1863.660034,1952.75,1701.150024,1864.040039,1864.040039,1.09E+11
2022-06-01,1871.459961,1919.72998,1641.469971,1707.98999,1707.98999,1.06E+11
2022-07-01,1705.069946,1888.219971,1681.579956,1885.22998,1885.22998,81688320000
2022-08-01,1870.48999,2030.050049,1843.079956,1844.119995,1844.119995,92252350000
2022-09-01,1826.75,1906.089966,1650.709961,1664.719971,1664.719971,94241020000
2022-10-01,1687.280029,1854.569946,1641.939941,1846.859985,1846.859985,95823760000
2022-11-01,1864.949951,1905.839966,1757.449951,1886.579956,1886.579956,92671910000
2022-12-01,1891.97998,1898.449951,1722.02002,1761.25,1761.25,85249330000
